Name,Standard name,AVGRAD_moursch,aVGFoG_moursch,AVGRAD_homann,aVGFoG_homann,S score (FLC-NoDrug),RNA Seq A17 in vs. out
ARG81,C1_09090C,1.2701612905,0.9869047635,1.233333334,0.850588236,1.2224046801,-0.44
ARG83,C4_02530W,1.09375,1.190277778,0.941176471,1.303615196,0.864226058939,-1.476
ARO80,C1_03200C,1.0942540325,0.885317459,0.973684211,0.880131965,2.10692746268,0.264
ASG1,CR_02560C,1.0791330645,0.966468256,0.908730159,1.148484849,-0.447248912625,-0.583
CAT8,C1_08190C,1.0005040325,1.042460319,1.172268907,0.887523191,3.92904573741,-0.126
CTA4,C3_05930W,0.984375,1.24642857,0.916666667,1.116666667,-2.69447000409,0.141
CTA7,C5_02700W,1.0630040325,1.120436507,0.821428572,1.015550239,0.129333875724,-0.086
CTF1,C2_01890W,1.126512097,1.2948412705,0.970588236,0.55882353,-1.06299753877,-0.363
CWT1,CR_05530C,0.9848790325,1.3077380965,1.029411765,0.880797774,1.39839027684,-0.677
CZF1,C4_06820C,1.327956989,0.816993464,1.142857143,1.018939394,-0.736347033636,-1.718
DAL81,CR_01030W,1.095766129,1.0644841255,1,0.984090909,-0.707729415998,-1.591
FCR1,C3_06850W,1.142137097,1.0609127005,0.966666667,0.811764706,-2.55380254566,-1.893
FGR17,C6_03610W,0.8210685485,1.02222,0.733333334,0.977941177,0.478294490298,-0.234
FGR27,C5_03680W,1.095262097,0.9162698405,0.933333334,0.868529412,0.620463595777,-1.628
GAL4,C2_10590W,1.0942540325,0.8095238115,1.113445378,0.93877551,-1.51727020133,1.618
HAL9,C5_01830C,1.0322580645,0.8113095215,0.972222222,1.051041667,-1.02407680527,-1.691
LEU3,C5_02180C,1.081653226,1.239682541,0.919444445,0.855502393,-0.268638595813,-1.391
LYS14,C6_02750C,1.110887097,1.586111111,1.136554622,1.137523191,-0.787684803154,-0.064
LYS142,C1_09200W,1.129032258,1.236111111,0.95,1.226674641,1.70556490029,-1.283
LYS143,C1_09180W,1.144153226,1.0448412705,1,0.967741936,3.83424288681,0.006
LYS144,C3_00750W,1.079637097,0.9087301595,1.172268907,0.930890538,0.0625333433177,0.132
MRR1,C3_05920W,0.681955645,0.474007937,1.136554622,1.045454546,-1.94082566877,0.275
PPR1,C5_04970C,1.064012097,1.2119047635,1.081871345,0.868181818,-1.25541490066,-1.835
RGT1,C4_02540W,1.0677419355,1.1930555555,1.146381579,0.857771261,-2.29931691814,-0.015
SEF1,CR_02190C,0.982795699166667,0.984722222,0.842857143,0.867224881,-0.755569013574,-0.523
SEF2,C5_01400W,1.04946236583333,1.2291666665,1,1.025757576,-1.28317213485,-0.572
STB5,C1_01200W,1.24946236583333,1.038888889,0.996428572,1.105263158,-0.215000632211,-0.923
SUC1,CR_09210W,1.19784946233333,0.9569444445,1.048319328,1.096474954,0.0992467255946,-0.525
TAC1,C5_01840C,1.18333333333333,0.8,1.033088236,1.049019608,0.695024855114,0.323
TEA1,C3_05470W,1.24408602166667,1.1833333335,0.991666667,0.866176471,2.12082190433,0.575
UGA3,CR_09960C,1.001612903,1.486111111,1.015873016,1.208333334,0.61540491854,-0.976
UGA32,C1_00670C,1.24731182816667,1.1555555555,1.100840336,0.806122449,-0.215000632211,0.542
UGA33,CR_09200C,0.716666666666667,1.0208333335,0.983193278,1.030148423,0.331780479246,-0.375
UME7,C4_02560C,1.31559139783333,0.984722222,0.988095238,1.103030303,-0.992608210875,0.169
UPC2,C1_08460C,1.05053763416667,0.761111111,1.015873016,1.040909091,1.63048941873,1.996
WAR1,C1_03740W,0.7032258065,0.6291666665,0.888888889,1.033333333,2.78499936779,-1.508
WOR2,C3_05170W,0.9016129,0.840277778,1.218487395,0.727736549,1.88358558751,0.645
ZCF1,C3_02640C,1.09375,1.47142857,1.182539683,0.784090909,-1.93584656101,-1.836
ZCF2,C1_05340C,1.161290323,0.972222222,0.805555556,0.9,-3.38492563365,-2.057
ZCF3,C1_11520C,1.1806451615,0.9680555555,1.071428572,0.921969697,1.03875596003,-1.43
ZCF4,C1_07670W,1.142641129,1.1940476185,0.694444445,0.690469208,-1.21500063221,-0.293
ZCF5,C4_05700W,1.160282258,1.345039681,0.850694445,1.05659824,-0.51456091407,-1.023
ZCF6,C2_01880C,1.239919355,1.3851190485,1.08881579,1.099340176,1.03875596003,-0.786
ZCF7,C3_01580W,1.1280241935,1.1269841255,0.888888889,0.959090909,-0.386046173547,-0.656
ZCF8,C3_01330W,1.0958333335,1.416106442,1,0.733529412,0.709994939587,-0.252
ZCF13,C5_03330C,1.1612903225,1.3426587295,1,1.111825981,-2.70410311752,-0.157
ZCF14,C5_03320C,1.1592741935,1.0605158745,1.001838236,1.18627451,0.253476126029,-0.181
ZCF15,C4_02490W,1.175403226,0.9690476185,1.071428572,0.791666667,0.226943559697,-0.458
ZCF16,C3_04020C,1.1920362905,0.79107143,0.952380952,1.425,0.637442179375,-0.141
ZCF17,C1_01170C,1.175907258,0.711507937,0.939338236,1.064644608,-0.215000632211,-1.599
ZCF19,CR_06240C,1.1123991935,1.1851190485,1.082142857,1.241626795,-0.778297680792,0.611
ZCF20,C5_01500C,1.127016129,1.035317459,1.071428572,1.153110048,0.452223890664,0.248
ZCF21,C4_00760W,1.110887097,1.168849208,0.978571429,1.174043062,0.759712926178,0.433
ZCF22,C5_02430W,1.110887097,1.1484127005,1.071428572,1.183014354,-0.678947731971,0.495
ZCF23,C1_07170C,1.175403226,1.3101190485,0.925,1.290669857,-2.17435864771,-0.219
ZCF24,C1_02010C,1.207157258,1.046031744,1.046428572,1.045454546,-0.215000632211,-0.885
ZCF25,C4_02220C,1.2076612905,1.109920633,1.021428572,0.964114833,1.1882404396,-1.541
ZCF26,C4_02180C,1.1280241935,1.04642857,0.927777778,0.820909091,-2.93746665668,0.413
ZCF27,C4_01380W,1.129032258,1.1952380965,1.02631579,0.706818182,-3.12594944439,-0.558
ZCF28,C1_09100W,0.9692540325,1.4658730145,0.973684211,0.970674487,1.96786342494,-1.072
ZCF29,C7_03220C,1.2056451615,1.2595238115,1.113445378,1.025278293,-0.0732725225995,-0.078
ZCF30,C1_12130C,1.256048387,1.1166666665,1.113445378,0.817254175,-2.55287027097,-0.652
ZCF31,C3_04640W,1.09375,1.51428571,1.100840336,1.0783859,2.19929148082,-1.417
ZCF32,C3_04770C,1.1139112905,1.2619047635,1.18907563,0.933209647,0.10417685166,-0.051
MRR2,C3_07860C,0.9853830645,0.891468256,1.142857143,0.86270872,1.02016615076,0.027
ZCF35,C3_05910W,1.320060484,0.7305555555,1.033333334,0.813235294,-2.93746665668,-0.472
AHR1,C3_06000W,1.0151209675,0.5462301595,0.783333334,0.846470588,-2.62099299189,-0.612
ZCF38,CR_00170W,1.1607862905,0.999007937,0.916666667,1.1,1.1119223726,-0.949
ZCF39,CR_10070C,1.1900201615,1.005357145,1.031746032,1.084848485,0.20337819827,-0.758
ZNC1,C5_01850C,1.081653226,0.9037698405,0.474561404,0.89,-0.195598100989,-0.866
ROB1,C1_13620W,1.222782258,0.925396826,0.891666667,0.959411765,2.10692746268,-0.841
ZFU2,C3_07200C,1,1.11734693877551,0.976315789,0.826363636,-0.511982369968,-1.472
